1: Rental(rental_id=6398, movie_id=3381, client_id=6580, rented_date=2014-01-06 02:16:20, due_date=1973-10-23 21:58:19, returned_date=1994-02-28 09:05:46)
2: Rental(rental_id=4363, movie_id=5935, client_id=1565, rented_date=1973-09-01 18:19:19, due_date=2023-11-06 17:10:53, returned_date=1973-06-12 00:51:10)
3: Rental(rental_id=6676, movie_id=8686, client_id=9702, rented_date=2009-10-13 05:01:04, due_date=1988-10-31 07:58:23, returned_date=1992-06-26 13:01:50)
4: Rental(rental_id=6617, movie_id=9275, client_id=9312, rented_date=2016-12-30 01:56:07, due_date=1990-08-08 04:26:06, returned_date=2011-08-21 05:55:54)
5: Rental(rental_id=9683, movie_id=9250, client_id=4451, rented_date=1992-06-29 11:38:02, due_date=1986-04-11 00:06:15, returned_date=1980-11-04 16:56:42)
6: Rental(rental_id=6923, movie_id=465, client_id=1960, rented_date=2007-12-04 04:28:54, due_date=1985-03-21 06:23:25, returned_date=1990-03-10 15:06:21)
7: Rental(rental_id=8234, movie_id=850, client_id=4043, rented_date=1978-04-07 20:27:15, due_date=1986-10-02 22:06:21, returned_date=1997-06-18 14:16:25)
8: Rental(rental_id=8896, movie_id=2727, client_id=2312, rented_date=1977-04-19 02:17:33, due_date=2021-04-24 00:00:12, returned_date=2019-08-19 13:57:43)
9: Rental(rental_id=3055, movie_id=905, client_id=9165, rented_date=2001-09-26 20:12:18, due_date=1970-01-11 01:07:43, returned_date=2006-04-11 20:57:41)
10: Rental(rental_id=480, movie_id=2342, client_id=4730, rented_date=1975-09-12 05:40:42, due_date=1980-08-20 00:55:43, returned_date=1984-12-11 07:29:17)
11: Rental(rental_id=4365, movie_id=4231, client_id=9007, rented_date=2006-01-25 15:12:18, due_date=1993-04-02 05:59:10, returned_date=1984-02-29 15:50:25)
12: Rental(rental_id=8531, movie_id=206, client_id=6594, rented_date=2004-07-20 03:47:40, due_date=2013-11-29 07:29:01, returned_date=1972-08-29 12:15:25)
13: Rental(rental_id=4108, movie_id=4099, client_id=4373, rented_date=1975-11-04 05:15:05, due_date=2024-07-23 16:53:38, returned_date=1975-06-06 10:20:16)
14: Rental(rental_id=225, movie_id=2965, client_id=2173, rented_date=2019-05-29 01:57:21, due_date=2020-02-04 15:03:40, returned_date=1988-10-05 12:31:42)
15: Rental(rental_id=7490, movie_id=5375, client_id=528, rented_date=1986-02-22 08:10:24, due_date=2020-02-16 03:31:45, returned_date=1972-06-17 13:04:57)
16: Rental(rental_id=1158, movie_id=8690, client_id=6855, rented_date=2015-10-23 01:49:47, due_date=1989-05-21 14:29:01, returned_date=2021-07-25 02:35:36)
17: Rental(rental_id=9937, movie_id=1439, client_id=818, rented_date=1977-03-07 01:00:39, due_date=2023-06-11 14:29:22, returned_date=2021-11-23 01:44:13)
18: Rental(rental_id=7342, movie_id=6034, client_id=6348, rented_date=2010-05-12 22:15:05, due_date=2015-09-10 10:55:08, returned_date=1972-03-02 01:16:29)
19: Rental(rental_id=2681, movie_id=105, client_id=8449, rented_date=1994-03-21 00:11:04, due_date=2016-06-27 18:06:25, returned_date=1973-05-04 16:33:17)
20: Rental(rental_id=6613, movie_id=501, client_id=2908, rented_date=2008-12-27 19:24:15, due_date=1985-10-06 03:11:15, returned_date=1980-02-10 19:00:32)
